,BLA,BLP,MABH,BN,FAR,BD,HBN,AHBH,ABH,DHBH,ABF,CL,RBS,HBFR,BL,LU,SBLU,SLR
13,"F: +10,752.29 to +16,208.22",F: +479.10 to +575.40,J: +100.35 to +338.05,E: +3.00 to +5.00,J: +9.79 to +49.32,F: +0.28 to +0.33,H: +3.00 to +6.00,J: +73.47 to +217.00,J: +59.04 to +176.83,J: +19.31 to +128.65,"I: +800.41 to +1,173.35",F: +0.20 to +0.26,I: +1.00 to +1.00,H: +0.79 to +1.00,F: +0.28 to +0.35,B,"A, B, R","primary, secondary, tertiary"
14,"G: +16,208.22 to +25,962.57",G: +575.40 to +705.73,I: +80.48 to +100.35,F: +5.00 to +8.00,H: +4.06 to +5.96,D: +0.08 to +0.21,H: +3.00 to +6.00,H: +50.20 to +60.59,I: +43.58 to +59.04,I: +11.99 to +19.31,H: +602.17 to +800.41,D: +0.04 to +0.12,E: +0.58 to +0.73,G: +0.50 to +0.79,E: +0.22 to +0.28,B,"A, B, G","primary, secondary"
15,"H: +25,962.57 to +37,105.02",H: +705.73 to +877.46,I: +80.48 to +100.35,G: +8.00 to +12.00,G: +2.90 to +4.06,E: +0.21 to +0.28,G: +1.00 to +3.00,H: +50.20 to +60.59,G: +25.87 to +32.47,J: +19.31 to +128.65,H: +602.17 to +800.41,F: +0.20 to +0.26,D: +0.37 to +0.58,H: +0.79 to +1.00,G: +0.35 to +0.44,B,"B, R","primary, secondary, tertiary"
16,"G: +16,208.22 to +25,962.57",F: +479.10 to +575.40,G: +47.89 to +62.56,E: +3.00 to +5.00,D: +0.40 to +1.50,C: +0.00 to +0.08,F: +0.00 to +1.00,H: +50.20 to +60.59,F: +20.19 to +25.87,A: +0.00 to +0.00,D: +172.15 to +287.72,D: +0.04 to +0.12,F: +0.73 to +0.86,H: +0.79 to +1.00,I: +0.53 to +0.69,R,R,"trunk, primary, tertiary"
17,"G: +16,208.22 to +25,962.57",F: +479.10 to +575.40,H: +62.56 to +80.48,H: +12.00 to +19.00,I: +5.96 to +9.79,F: +0.28 to +0.33,I: +6.00 to +11.00,H: +50.20 to +60.59,I: +43.58 to +59.04,H: +5.71 to +11.99,F: +376.68 to +466.13,G: +0.26 to +0.33,E: +0.58 to +0.73,G: +0.50 to +0.79,H: +0.44 to +0.53,R,"B, R","primary, tertiary"
18,"H: +25,962.57 to +37,105.02",H: +705.73 to +877.46,J: +100.35 to +338.05,I: +19.00 to +37.00,J: +9.79 to +49.32,H: +0.39 to +0.47,J: +11.00 to +113.00,J: +73.47 to +217.00,J: +59.04 to +176.83,I: +11.99 to +19.31,G: +466.13 to +602.17,E: +0.12 to +0.20,E: +0.58 to +0.73,G: +0.50 to +0.79,C: +0.11 to +0.17,B,"A, B, R","primary, secondary, tertiary"
19,"G: +16,208.22 to +25,962.57",F: +479.10 to +575.40,G: +47.89 to +62.56,C: +0.00 to +1.00,C: +0.00 to +0.40,C: +0.00 to +0.08,F: +0.00 to +1.00,H: +50.20 to +60.59,I: +43.58 to +59.04,A: +0.00 to +0.00,C: +0.00 to +172.15,A: +0.00 to +0.00,A: +0.00 to +0.00,A: +0.00 to +0.00,B: +0.06 to +0.11,B,"A, B, G","primary, secondary, tertiary"
20,"I: +37,105.02 to +68,167.29","I: +877.46 to +1,137.65",I: +80.48 to +100.35,J: +37.00 to +389.00,H: +4.06 to +5.96,E: +0.21 to +0.28,J: +11.00 to +113.00,H: +50.20 to +60.59,I: +43.58 to +59.04,I: +11.99 to +19.31,D: +172.15 to +287.72,E: +0.12 to +0.20,D: +0.37 to +0.58,F: +0.00 to +0.50,E: +0.22 to +0.28,R,"A, B, R","trunk, primary, tertiary"
21,"H: +25,962.57 to +37,105.02",H: +705.73 to +877.46,J: +100.35 to +338.05,I: +19.00 to +37.00,H: +4.06 to +5.96,E: +0.21 to +0.28,J: +11.00 to +113.00,H: +50.20 to +60.59,I: +43.58 to +59.04,J: +19.31 to +128.65,E: +287.72 to +376.68,E: +0.12 to +0.20,E: +0.58 to +0.73,H: +0.79 to +1.00,D: +0.17 to +0.22,R,"A, B, R","primary, tertiary"
22,"H: +25,962.57 to +37,105.02",H: +705.73 to +877.46,G: +47.89 to +62.56,I: +19.00 to +37.00,F: +2.17 to +2.90,E: +0.21 to +0.28,I: +6.00 to +11.00,H: +50.20 to +60.59,H: +32.47 to +43.58,H: +5.71 to +11.99,F: +376.68 to +466.13,D: +0.04 to +0.12,D: +0.37 to +0.58,H: +0.79 to +1.00,B: +0.06 to +0.11,A,"A, B, R","secondary, tertiary"
23,"H: +25,962.57 to +37,105.02",G: +575.40 to +705.73,E: +20.94 to +36.00,C: +0.00 to +1.00,D: +0.40 to +1.50,C: +0.00 to +0.08,F: +0.00 to +1.00,F: +0.00 to +43.06,H: +32.47 to +43.58,A: +0.00 to +0.00,"J: +1,173.35 to +23,420.93",D: +0.04 to +0.12,G: +0.86 to +1.00,H: +0.79 to +1.00,D: +0.17 to +0.22,B,"B, G, R","primary, secondary, tertiary"
24,"G: +16,208.22 to +25,962.57",F: +479.10 to +575.40,G: +47.89 to +62.56,F: +5.00 to +8.00,I: +5.96 to +9.79,J: +0.62 to +0.99,H: +3.00 to +6.00,G: +43.06 to +50.20,H: +32.47 to +43.58,G: +0.00 to +5.71,"J: +1,173.35 to +23,420.93",J: +0.49 to +1.40,J: +1.00 to +1.00,H: +0.79 to +1.00,A: +0.00 to +0.06,B,"A, B, G","secondary, tertiary"
25,"I: +37,105.02 to +68,167.29","I: +877.46 to +1,137.65",I: +80.48 to +100.35,I: +19.00 to +37.00,G: +2.90 to +4.06,E: +0.21 to +0.28,J: +11.00 to +113.00,I: +60.59 to +73.47,H: +32.47 to +43.58,I: +11.99 to +19.31,F: +376.68 to +466.13,E: +0.12 to +0.20,E: +0.58 to +0.73,G: +0.50 to +0.79,H: +0.44 to +0.53,R,R,"trunk, primary, tertiary, residential"
26,"H: +25,962.57 to +37,105.02",H: +705.73 to +877.46,I: +80.48 to +100.35,I: +19.00 to +37.00,I: +5.96 to +9.79,G: +0.33 to +0.39,J: +11.00 to +113.00,I: +60.59 to +73.47,J: +59.04 to +176.83,H: +5.71 to +11.99,F: +376.68 to +466.13,H: +0.33 to +0.39,F: +0.73 to +0.86,G: +0.50 to +0.79,D: +0.17 to +0.22,B,"A, B, R","primary, secondary, tertiary"
27,"D: +4,883.63 to +7,021.92",D: +309.19 to +373.51,H: +62.56 to +80.48,D: +1.00 to +3.00,D: +0.40 to +1.50,C: +0.00 to +0.08,G: +1.00 to +3.00,I: +60.59 to +73.47,J: +59.04 to +176.83,H: +5.71 to +11.99,D: +172.15 to +287.72,C: +0.00 to +0.04,H: +1.00 to +1.00,H: +0.79 to +1.00,F: +0.28 to +0.35,B,"B, R","trunk, primary, secondary, tertiary"
28,"H: +25,962.57 to +37,105.02",H: +705.73 to +877.46,I: +80.48 to +100.35,H: +12.00 to +19.00,I: +5.96 to +9.79,G: +0.33 to +0.39,I: +6.00 to +11.00,H: +50.20 to +60.59,I: +43.58 to +59.04,I: +11.99 to +19.31,"I: +800.41 to +1,173.35",H: +0.33 to +0.39,F: +0.73 to +0.86,H: +0.79 to +1.00,B: +0.06 to +0.11,A,"A, B, R","secondary, tertiary"
29,"G: +16,208.22 to +25,962.57",F: +479.10 to +575.40,J: +100.35 to +338.05,F: +5.00 to +8.00,J: +9.79 to +49.32,G: +0.33 to +0.39,H: +3.00 to +6.00,J: +73.47 to +217.00,J: +59.04 to +176.83,J: +19.31 to +128.65,"J: +1,173.35 to +23,420.93",F: +0.20 to +0.26,F: +0.73 to +0.86,H: +0.79 to +1.00,A: +0.00 to +0.06,B,"A, B, G","secondary, tertiary"
30,"J: +68,167.29 to +723,844.63","J: +1,137.65 to +5,919.44",A: +0.00 to +0.00,A: +0.00 to +0.00,A: +0.00 to +0.00,A: +0.00 to +0.00,A: +0.00 to +0.00,A: +0.00 to +0.00,I: +43.58 to +59.04,A: +0.00 to +0.00,A: +0.00 to +0.00,A: +0.00 to +0.00,A: +0.00 to +0.00,A: +0.00 to +0.00,B: +0.06 to +0.11,G,"A, B","primary, secondary, tertiary"
31,"H: +25,962.57 to +37,105.02",G: +575.40 to +705.73,J: +100.35 to +338.05,H: +12.00 to +19.00,J: +9.79 to +49.32,I: +0.47 to +0.62,I: +6.00 to +11.00,J: +73.47 to +217.00,J: +59.04 to +176.83,J: +19.31 to +128.65,"I: +800.41 to +1,173.35",E: +0.12 to +0.20,D: +0.37 to +0.58,G: +0.50 to +0.79,B: +0.06 to +0.11,B,"B, G, R","secondary, tertiary"
32,"J: +68,167.29 to +723,844.63","J: +1,137.65 to +5,919.44",J: +100.35 to +338.05,J: +37.00 to +389.00,I: +5.96 to +9.79,F: +0.28 to +0.33,J: +11.00 to +113.00,I: +60.59 to +73.47,J: +59.04 to +176.83,I: +11.99 to +19.31,G: +466.13 to +602.17,F: +0.20 to +0.26,E: +0.58 to +0.73,G: +0.50 to +0.79,E: +0.22 to +0.28,R,"B, R","primary, secondary, tertiary, residential"
33,"I: +37,105.02 to +68,167.29","I: +877.46 to +1,137.65",I: +80.48 to +100.35,I: +19.00 to +37.00,I: +5.96 to +9.79,F: +0.28 to +0.33,J: +11.00 to +113.00,I: +60.59 to +73.47,J: +59.04 to +176.83,I: +11.99 to +19.31,G: +466.13 to +602.17,E: +0.12 to +0.20,D: +0.37 to +0.58,F: +0.00 to +0.50,G: +0.35 to +0.44,R,R,"trunk, secondary, tertiary"
34,"I: +37,105.02 to +68,167.29",H: +705.73 to +877.46,J: +100.35 to +338.05,I: +19.00 to +37.00,J: +9.79 to +49.32,H: +0.39 to +0.47,J: +11.00 to +113.00,I: +60.59 to +73.47,J: +59.04 to +176.83,J: +19.31 to +128.65,H: +602.17 to +800.41,H: +0.33 to +0.39,E: +0.58 to +0.73,G: +0.50 to +0.79,A: +0.00 to +0.06,B,"B, R",secondary
35,"J: +68,167.29 to +723,844.63","J: +1,137.65 to +5,919.44",J: +100.35 to +338.05,I: +19.00 to +37.00,I: +5.96 to +9.79,G: +0.33 to +0.39,J: +11.00 to +113.00,I: +60.59 to +73.47,I: +43.58 to +59.04,I: +11.99 to +19.31,"I: +800.41 to +1,173.35",F: +0.20 to +0.26,D: +0.37 to +0.58,F: +0.00 to +0.50,B: +0.06 to +0.11,B,B,"trunk, secondary, tertiary"
36,"H: +25,962.57 to +37,105.02",H: +705.73 to +877.46,G: +47.89 to +62.56,E: +3.00 to +5.00,E: +1.50 to +2.17,D: +0.08 to +0.21,G: +1.00 to +3.00,G: +43.06 to +50.20,H: +32.47 to +43.58,G: +0.00 to +5.71,H: +602.17 to +800.41,D: +0.04 to +0.12,F: +0.73 to +0.86,H: +0.79 to +1.00,A: +0.00 to +0.06,R,B,secondary
37,"I: +37,105.02 to +68,167.29",H: +705.73 to +877.46,J: +100.35 to +338.05,H: +12.00 to +19.00,H: +4.06 to +5.96,F: +0.28 to +0.33,H: +3.00 to +6.00,I: +60.59 to +73.47,G: +25.87 to +32.47,J: +19.31 to +128.65,"I: +800.41 to +1,173.35",E: +0.12 to +0.20,D: +0.37 to +0.58,G: +0.50 to +0.79,A: +0.00 to +0.06,B,"B, R","trunk, primary, secondary"
38,"A: +0.42 to +1,219.23",A: +3.15 to +167.74,A: +0.00 to +0.00,A: +0.00 to +0.00,A: +0.00 to +0.00,A: +0.00 to +0.00,A: +0.00 to +0.00,A: +0.00 to +0.00,A: +0.00 to +0.00,A: +0.00 to +0.00,A: +0.00 to +0.00,A: +0.00 to +0.00,A: +0.00 to +0.00,A: +0.00 to +0.00,A: +0.00 to +0.06,B,B,"trunk, secondary"
39,"J: +68,167.29 to +723,844.63","J: +1,137.65 to +5,919.44",I: +80.48 to +100.35,J: +37.00 to +389.00,H: +4.06 to +5.96,E: +0.21 to +0.28,J: +11.00 to +113.00,H: +50.20 to +60.59,H: +32.47 to +43.58,I: +11.99 to +19.31,G: +466.13 to +602.17,F: +0.20 to +0.26,D: +0.37 to +0.58,F: +0.00 to +0.50,D: +0.17 to +0.22,B,B,"trunk, secondary, tertiary"
40,"J: +68,167.29 to +723,844.63","J: +1,137.65 to +5,919.44",J: +100.35 to +338.05,I: +19.00 to +37.00,H: +4.06 to +5.96,F: +0.28 to +0.33,J: +11.00 to +113.00,I: +60.59 to +73.47,I: +43.58 to +59.04,J: +19.31 to +128.65,"I: +800.41 to +1,173.35",D: +0.04 to +0.12,C: +0.00 to +0.37,F: +0.00 to +0.50,B: +0.06 to +0.11,B,"B, R","trunk, secondary"
41,"I: +37,105.02 to +68,167.29","J: +1,137.65 to +5,919.44",I: +80.48 to +100.35,J: +37.00 to +389.00,G: +2.90 to +4.06,F: +0.28 to +0.33,J: +11.00 to +113.00,H: +50.20 to +60.59,H: +32.47 to +43.58,I: +11.99 to +19.31,D: +172.15 to +287.72,F: +0.20 to +0.26,D: +0.37 to +0.58,G: +0.50 to +0.79,D: +0.17 to +0.22,B,R,"trunk, secondary, tertiary, residential"
42,"J: +68,167.29 to +723,844.63","J: +1,137.65 to +5,919.44",F: +36.00 to +47.89,J: +37.00 to +389.00,G: +2.90 to +4.06,G: +0.33 to +0.39,I: +6.00 to +11.00,F: +0.00 to +43.06,F: +20.19 to +25.87,G: +0.00 to +5.71,E: +287.72 to +376.68,I: +0.39 to +0.49,G: +0.86 to +1.00,H: +0.79 to +1.00,B: +0.06 to +0.11,R,"B, R","trunk, primary, secondary, residential"
43,"J: +68,167.29 to +723,844.63","J: +1,137.65 to +5,919.44",H: +62.56 to +80.48,J: +37.00 to +389.00,F: +2.17 to +2.90,F: +0.28 to +0.33,I: +6.00 to +11.00,H: +50.20 to +60.59,G: +25.87 to +32.47,I: +11.99 to +19.31,F: +376.68 to +466.13,H: +0.33 to +0.39,E: +0.58 to +0.73,H: +0.79 to +1.00,F: +0.28 to +0.35,R,R,"trunk, primary, secondary, residential"
44,"I: +37,105.02 to +68,167.29","I: +877.46 to +1,137.65",I: +80.48 to +100.35,J: +37.00 to +389.00,H: +4.06 to +5.96,F: +0.28 to +0.33,J: +11.00 to +113.00,H: +50.20 to +60.59,H: +32.47 to +43.58,I: +11.99 to +19.31,E: +287.72 to +376.68,H: +0.33 to +0.39,E: +0.58 to +0.73,G: +0.50 to +0.79,D: +0.17 to +0.22,R,"B, R","secondary, tertiary, residential"
45,"J: +68,167.29 to +723,844.63","J: +1,137.65 to +5,919.44",G: +47.89 to +62.56,J: +37.00 to +389.00,E: +1.50 to +2.17,F: +0.28 to +0.33,I: +6.00 to +11.00,G: +43.06 to +50.20,F: +20.19 to +25.87,H: +5.71 to +11.99,E: +287.72 to +376.68,G: +0.26 to +0.33,D: +0.37 to +0.58,G: +0.50 to +0.79,C: +0.11 to +0.17,R,"B, R","secondary, tertiary, residential"
46,"H: +25,962.57 to +37,105.02","I: +877.46 to +1,137.65",G: +47.89 to +62.56,I: +19.00 to +37.00,E: +1.50 to +2.17,D: +0.08 to +0.21,G: +1.00 to +3.00,G: +43.06 to +50.20,G: +25.87 to +32.47,H: +5.71 to +11.99,D: +172.15 to +287.72,F: +0.20 to +0.26,F: +0.73 to +0.86,H: +0.79 to +1.00,H: +0.44 to +0.53,B,"R, M","trunk, secondary, tertiary, residential"
47,"J: +68,167.29 to +723,844.63","J: +1,137.65 to +5,919.44",G: +47.89 to +62.56,J: +37.00 to +389.00,G: +2.90 to +4.06,H: +0.39 to +0.47,J: +11.00 to +113.00,F: +0.00 to +43.06,F: +20.19 to +25.87,H: +5.71 to +11.99,D: +172.15 to +287.72,I: +0.39 to +0.49,C: +0.00 to +0.37,F: +0.00 to +0.50,F: +0.28 to +0.35,R,"B, R","trunk, secondary, tertiary, residential"
48,"F: +10,752.29 to +16,208.22",G: +575.40 to +705.73,H: +62.56 to +80.48,G: +8.00 to +12.00,G: +2.90 to +4.06,E: +0.21 to +0.28,H: +3.00 to +6.00,G: +43.06 to +50.20,G: +25.87 to +32.47,H: +5.71 to +11.99,E: +287.72 to +376.68,F: +0.20 to +0.26,G: +0.86 to +1.00,H: +0.79 to +1.00,F: +0.28 to +0.35,B,"B, R, M","trunk, secondary, tertiary, residential"
49,"I: +37,105.02 to +68,167.29",H: +705.73 to +877.46,H: +62.56 to +80.48,H: +12.00 to +19.00,D: +0.40 to +1.50,C: +0.00 to +0.08,H: +3.00 to +6.00,G: +43.06 to +50.20,G: +25.87 to +32.47,H: +5.71 to +11.99,D: +172.15 to +287.72,D: +0.04 to +0.12,C: +0.00 to +0.37,F: +0.00 to +0.50,E: +0.22 to +0.28,B,"A, B, R","trunk, secondary, tertiary, residential"
50,"J: +68,167.29 to +723,844.63","J: +1,137.65 to +5,919.44",H: +62.56 to +80.48,J: +37.00 to +389.00,G: +2.90 to +4.06,F: +0.28 to +0.33,J: +11.00 to +113.00,G: +43.06 to +50.20,G: +25.87 to +32.47,H: +5.71 to +11.99,E: +287.72 to +376.68,I: +0.39 to +0.49,D: +0.37 to +0.58,H: +0.79 to +1.00,G: +0.35 to +0.44,R,"B, R","trunk, secondary, tertiary, residential"
51,"I: +37,105.02 to +68,167.29","I: +877.46 to +1,137.65",G: +47.89 to +62.56,H: +12.00 to +19.00,F: +2.17 to +2.90,E: +0.21 to +0.28,F: +0.00 to +1.00,H: +50.20 to +60.59,E: +17.74 to +20.19,A: +0.00 to +0.00,H: +602.17 to +800.41,D: +0.04 to +0.12,E: +0.58 to +0.73,H: +0.79 to +1.00,E: +0.22 to +0.28,B,"A, B, R","trunk, tertiary, residential"
52,"I: +37,105.02 to +68,167.29","I: +877.46 to +1,137.65",G: +47.89 to +62.56,F: +5.00 to +8.00,F: +2.17 to +2.90,E: +0.21 to +0.28,I: +6.00 to +11.00,F: +0.00 to +43.06,H: +32.47 to +43.58,G: +0.00 to +5.71,"J: +1,173.35 to +23,420.93",D: +0.04 to +0.12,D: +0.37 to +0.58,F: +0.00 to +0.50,E: +0.22 to +0.28,B,"A, B, R","trunk, secondary, tertiary, residential"
53,"J: +68,167.29 to +723,844.63","J: +1,137.65 to +5,919.44",I: +80.48 to +100.35,J: +37.00 to +389.00,H: +4.06 to +5.96,E: +0.21 to +0.28,J: +11.00 to +113.00,H: +50.20 to +60.59,I: +43.58 to +59.04,I: +11.99 to +19.31,G: +466.13 to +602.17,E: +0.12 to +0.20,E: +0.58 to +0.73,G: +0.50 to +0.79,H: +0.44 to +0.53,B,"B, R","trunk, secondary, tertiary, residential"
54,"F: +10,752.29 to +16,208.22",E: +373.51 to +479.10,G: +47.89 to +62.56,H: +12.00 to +19.00,G: +2.90 to +4.06,F: +0.28 to +0.33,H: +3.00 to +6.00,G: +43.06 to +50.20,G: +25.87 to +32.47,G: +0.00 to +5.71,D: +172.15 to +287.72,G: +0.26 to +0.33,F: +0.73 to +0.86,H: +0.79 to +1.00,H: +0.44 to +0.53,B,"A, B, R","trunk, secondary, residential"
55,"G: +16,208.22 to +25,962.57",F: +479.10 to +575.40,J: +100.35 to +338.05,I: +19.00 to +37.00,I: +5.96 to +9.79,I: +0.47 to +0.62,J: +11.00 to +113.00,H: +50.20 to +60.59,H: +32.47 to +43.58,J: +19.31 to +128.65,G: +466.13 to +602.17,H: +0.33 to +0.39,E: +0.58 to +0.73,G: +0.50 to +0.79,H: +0.44 to +0.53,R,"B, R","trunk, residential"
56,"I: +37,105.02 to +68,167.29","I: +877.46 to +1,137.65",J: +100.35 to +338.05,F: +5.00 to +8.00,G: +2.90 to +4.06,D: +0.08 to +0.21,H: +3.00 to +6.00,I: +60.59 to +73.47,I: +43.58 to +59.04,J: +19.31 to +128.65,"J: +1,173.35 to +23,420.93",F: +0.20 to +0.26,E: +0.58 to +0.73,H: +0.79 to +1.00,I: +0.53 to +0.69,B,"B, R","trunk, residential"
57,"G: +16,208.22 to +25,962.57",G: +575.40 to +705.73,H: +62.56 to +80.48,G: +8.00 to +12.00,I: +5.96 to +9.79,G: +0.33 to +0.39,I: +6.00 to +11.00,H: +50.20 to +60.59,I: +43.58 to +59.04,H: +5.71 to +11.99,"I: +800.41 to +1,173.35",D: +0.04 to +0.12,J: +1.00 to +1.00,H: +0.79 to +1.00,I: +0.53 to +0.69,B,"A, B, R","secondary, residential"
58,"H: +25,962.57 to +37,105.02",H: +705.73 to +877.46,F: +36.00 to +47.89,I: +19.00 to +37.00,E: +1.50 to +2.17,E: +0.21 to +0.28,G: +1.00 to +3.00,F: +0.00 to +43.06,F: +20.19 to +25.87,G: +0.00 to +5.71,E: +287.72 to +376.68,F: +0.20 to +0.26,D: +0.37 to +0.58,F: +0.00 to +0.50,I: +0.53 to +0.69,R,"B, R",residential
59,"I: +37,105.02 to +68,167.29","I: +877.46 to +1,137.65",I: +80.48 to +100.35,J: +37.00 to +389.00,H: +4.06 to +5.96,F: +0.28 to +0.33,J: +11.00 to +113.00,H: +50.20 to +60.59,I: +43.58 to +59.04,I: +11.99 to +19.31,F: +376.68 to +466.13,F: +0.20 to +0.26,C: +0.00 to +0.37,F: +0.00 to +0.50,J: +0.69 to +1.00,B,"B, R","trunk, residential"
60,"F: +10,752.29 to +16,208.22",E: +373.51 to +479.10,H: +62.56 to +80.48,G: +8.00 to +12.00,H: +4.06 to +5.96,F: +0.28 to +0.33,H: +3.00 to +6.00,H: +50.20 to +60.59,H: +32.47 to +43.58,H: +5.71 to +11.99,F: +376.68 to +466.13,D: +0.04 to +0.12,E: +0.58 to +0.73,F: +0.00 to +0.50,J: +0.69 to +1.00,B,"A, B, M","tertiary, residential"
